Text,Language
" The distinction between nominative and accusative cases was lost except in personal pronouns, the instrumental case was dropped, and the use of the genitive case was limited to indicating possession",English
"     ತರಬೇತಿಗೆ ಹಾಜರಾಗಲು ಆಸಕ್ತಿಯಿರುವ ರೈತರು ಆಧಾರ್ ಕಾರ್ಡ್ ಝರಾಕ್ಸ್, 2 ಪಾಸ್ ಪೋರ್ಟ್ ಸೈಜ್ ಫೋಟೊ, ಪರಿಶಿಷ್ಟ ಜಾತಿ ಮತ್ತು ಪರಿಶಿಷ್ಟ ಪಂಗಡದವರು ಜಾತಿ ಪ್ರಮಾಣದ ಪತ್ರ ಝರಾಕ್ಸ್ ಪ್ರತಿ ನೀಡಬೇಕು",Kannada
"शेणै गोंयबाबान , जाणे कोंकणी पुणोर्जिवन कार्यांत मुख्य पात्र काण्गेलो, हिंद्वंमोधें मोराठिचें आनी क्रीस्तांवांत पुर्तुगेझ्चे वोड्पोणा विरोध लोदाइ केलि",Konkani
" இவர்கள், போர் நடவடிக்கைகளில் சிறந்து விளங்கியதாக நம்பப்படுகிறது",Tamil
"૨૦૧૧ની વસ્તી ગણતરી મુજબ, ભારતમાં વક્તાઓની સંખ્યા પ્રમાણે ગુજરાતી છઠ્ઠા ક્રમે સૌથી વધુ બોલાતી ભાષા છે",Gujarati
" ह्या झातिंक नोव्या प्रांतांत , थोंइच्या स्थानी लोकांकोडे तांच्या मांइभाषेंत उलोइजे पोड्तोले, देकुन तांच्या उलोऊंच्या रीतिंत,आनी सोब्दांत स्थानि भाषेंचो मोस्त प्रोभाव पोडता",Konkani
" मराठी भाषेचा उदय संस्‍कृतचा प्रभावाखाली निर्माण झालेल्या प्राकृत भाषेचा महाराष्ट्री या बोलीभाषेपासून झाला, असे बहुतांशी मानले जाते",Marathi
കുഴന്തൈ തമിഴർക്കു് കൊളന്തെ എന്നു മാറിയരൂപത്തിൽ അറിയാമെങ്കിലും കുഴവി തമിഴിൽ ഇല്ല,Malayalam
എന്നാൽ ഈ സ്വാധീനം രാജാക്കന്മാരിലും മറ്റുമായിരുന്നെങ്കിലും ജനങ്ങളുടെ വ്യവഹാരഭാഷ മലനാടു ഭാഷ തന്നെയായിരുന്നു,Malayalam
कोंकणी लेखांत interest वाढ्ल्या,Konkani
क्रमेण ईस्टीण्डियाकम्पनीद्वारा ब्रिटिश्शासनम् आगतम्,Sanskrit
" যেমন—বড়াই > বড়াই, আউলাইল > আউলাইল",Bengali
14 सितम्बर 1949 को हिन्दी को भारत की राजभाषा के रूप में स्वीकार किया गया था,Hindi
"আধুনিক বাংলা শব্দভাণ্ডারে মাগধী প্রাকৃত, পালি, সংস্কৃত, ফার্সি, আরবি ভাষা এবং অস্ট্রো-এশীয় ভাষাসমূহ সহ অন্যান্য ভাষা পরিবারের শব্দ স্থান পেয়েছে",Bengali
"தமிழ்நாடு (Tamil Nadu) என்பது இந்தியாவின், 28 மாநிலங்களில் ஒன்றாகும்",Tamil
اُردو بھارت کی سرکاری زبانوں میں سے ایک ہے,Urdu
" అనేక ఇతర ద్రావిడ భాషలవలె కాక తెలుగుభాష మూలాన్వేషణకు సంతృప్తికరమైన, నిర్ణయాత్మకమైన ఆధారాలు లేవు",Telugu
भाषाविद हिन्दी एवं उर्दू को एक ही भाषा समझते है,Hindi
देवनगरि गोंयांत ओपचारिक लिपि आसा,Konkani
२००१ वर्स केल्ल्या लोकसंख्येचे आंकडे अजून प्रसिद्ध करूनांत,Konkani
